date,cpi
2023-01-01,167.267
2023-02-01,168.069
2023-03-01,168.501
2023-04-01,169.376
2023-05-01,169.774
2023-06-01,170.303
2023-07-01,170.461
2023-08-01,171.128
2023-09-01,171.49
2023-10-01,171.421
2023-11-01,170.946
2023-12-01,170.718
2024-01-01,171.649
2024-02-01,172.7
2024-03-01,173.796
2024-04-01,174.424
2024-05-01,174.685
2024-06-01,174.721
2024-07-01,174.792
2024-08-01,174.848
2024-09-01,175.099
2024-10-01,175.346
2024-11-01,175.18
2024-12-01,175.219
2025-01-01,176.362
2025-02-01,177.134
2025-03-01,177.52
2025-04-01,178.081
2025-05-01,178.427
2025-06-01,178.991
2025-07-01,179.236
2025-08-01,179.739
2025-09-01,180.196
2025-11-01,179.712
2025-12-01,179.598
2026-01-01,180.232
2026-02-01,181.08
2026-03-01,183.013
2026-04-01,184.499
2026-05-01,185.589
2026-06-01,185.72647471996254
2026-07-01,185.22980085938525
